Data to fit:,Unoscillated flux:
0,1.214381899
0,5.622306391
1,11.77215522
3,18.36411225
1,27.2179448
8,38.10249543
14,51.19882744
20,64.91880229
10,80.03030054
12,97.50418953
1,120.8461503
0,145.7879126
1,152.757658
1,131.592428
6,100.0895231
6,73.63209608
11,54.60231744
9,39.48028161
7,26.47861379
10,17.63748553
3,12.19992341
2,9.286099702
2,7.642496278
2,6.219104848
2,5.240449918
5,4.655093059
3,4.070456344
2,3.511186184
3,3.255691478
2,2.809253489
5,2.610696627
3,2.391125442
5,2.177055785
6,1.999591704
5,1.923572126
3,1.756870669
3,1.649940915
6,1.56213126
4,1.523336371
2,1.412605258
4,1.384416271
0,1.279259769
1,1.20698624
2,1.166649267
3,1.157969344
2,1.123863599
4,1.07388241
2,1.008928377
2,1.004606505
3,0.982700051
0,1.005035342
3,0.936589682
4,0.930199929
3,0.943187832
4,0.93619016
3,0.892216658
5,0.912078877
2,0.911334279
2,0.891534043
8,0.91460231
2,0.90674946
2,0.897504218
7,0.903801328
5,0.891902508
5,0.876888213
1,0.871174903
1,0.88346685
2,0.870922224
1,0.876190632
5,0.894713569
5,0.859153942
2,0.891434355
4,0.887269827
4,0.894383751
2,0.901563092
7,0.898895114
8,0.906649078
6,0.916781977
3,0.917355507
1,0.921224756
3,0.910374528
4,0.914954782
2,0.921574401
3,0.911906442
5,0.888837503
2,0.890498272
7,0.89026236
2,0.856216028
5,0.8429036
5,0.821111556
2,0.812439271
4,0.794810402
4,0.782643325
2,0.756659256
2,0.745177574
3,0.709482413
5,0.701095691
4,0.676372658
2,0.663400542
2,0.635528
7,0.612945705
2,0.592194094
2,0.554118506
3,0.535397253
2,0.513405398
2,0.475550072
2,0.478169454
4,0.450248403
1,0.423958408
1,0.396119604
0,0.382623777
0,0.35831866
0,0.353203615
3,0.341468196
4,0.316178928
2,0.304193518
2,0.282894784
2,0.291984476
1,0.259366961
1,0.259872926
3,0.243090083
2,0.237369983
3,0.224301189
2,0.222068978
0,0.210288551
1,0.203963805
0,0.194529536
4,0.186922196
1,0.183464234
1,0.177203245
1,0.166013501
1,0.170406327
2,0.159915627
1,0.151693315
1,0.148686899
1,0.149625547
0,0.137575848
1,0.13089846
1,0.130024528
3,0.124036472
1,0.124423287
0,0.119853439
0,0.112729739
2,0.106659326
1,0.109355479
0,0.105483093
0,0.102380629
1,0.095279727
2,0.093278248
2,0.090511125
0,0.088201243
1,0.087021886
2,0.082493436
1,0.084216365
1,0.078956456
0,0.075254402
0,0.068636994
0,0.071620776
0,0.064188933
0,0.067452317
1,0.065641934
0,0.06297574
4,0.06379705
1,0.061139148
0,0.05391862
0,0.056833038
1,0.053031024
1,0.050726545
0,0.050015851
0,0.053271108
0,0.04463483
2,0.047308181
1,0.043396038
0,0.044226747
0,0.042559335
0,0.042034248
1,0.041072204
0,0.037292585
1,0.032875033
1,0.033201662
0,0.036388463
0,0.032332566
1,0.032836174
0,0.028687744
1,0.029432911
0,0.029138828
0,0.028565418
1,0.028253304
0,0.025115336
0,0.024720518
0,0.024118419
0,0.026707514
1,0.021739934
0,0.023491686
0,0.020074197
0,0.02392712
0,0.022551968
0,0.019609803
0,0.018910212
0,0.020150185
